[2025-12-05 12:25:30,179: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:27:17,202: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:30:50,807: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:31:06,064: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:36:39,218: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:37:34,277: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:40:51,602: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:40:51,604: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:41:04,334: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:41:04,336: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:41:04,337: INFO: common: created directory atartifacts:]
[2025-12-05 12:41:04,341: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 12:44:08,848: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:44:08,850: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:44:08,880: INFO: common: created directory atartifacts:]
[2025-12-05 12:44:08,882: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 12:45:27,960: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:45:27,962: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:45:27,963: INFO: common: created directory atartifacts:]
[2025-12-05 12:45:27,964: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 12:46:55,280: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:46:55,282: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:46:55,284: INFO: common: created directory atartifacts:]
[2025-12-05 12:46:55,286: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 12:47:24,117: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:47:24,120: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:47:24,121: INFO: common: created directory atartifacts:]
[2025-12-05 12:47:24,123: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 12:47:55,165: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 12:47:55,167: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 12:47:55,169: INFO: common: created directory atartifacts:]
[2025-12-05 12:47:55,178: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 13:08:08,490: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 13:08:08,492: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 13:08:08,493: INFO: common: created directory atartifacts:]
[2025-12-05 13:08:08,494: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 13:08:53,744: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 13:08:53,747: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 13:08:53,748: INFO: common: created directory atartifacts:]
[2025-12-05 13:08:53,751: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 13:08:57,688: INFO: 3004389598: File is downloaded:]
[2025-12-05 13:09:21,247: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 13:09:21,248: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 13:09:21,250: INFO: common: created directory atartifacts:]
[2025-12-05 13:09:21,251: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 13:09:21,253: INFO: 4234182674: File already exits:]
[2025-12-05 13:14:05,932: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 13:14:05,935: INFO: common: yaml file config\params.yaml loaded successfully:]
[2025-12-05 13:14:05,937: INFO: common: created directory atartifacts:]
[2025-12-05 13:14:05,940: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 13:14:09,107: INFO: 4234182674: File is downloaded:]
[2025-12-05 13:37:00,540: INFO: main: stage Data Ingestion Stage has started:]
[2025-12-05 13:37:00,542: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 13:37:00,551: INFO: common: yaml file params.yaml loaded successfully:]
[2025-12-05 13:37:00,552: INFO: common: created directory atartifacts:]
[2025-12-05 13:37:00,553: INFO: common: yaml file config\config.yaml loaded successfully:]
[2025-12-05 13:37:00,554: INFO: common: yaml file params.yaml loaded successfully:]
[2025-12-05 13:37:00,555: INFO: common: created directory atartifacts:]
[2025-12-05 13:37:00,556: INFO: common: created directory atartifacts/data_ingestion:]
[2025-12-05 13:37:04,089: INFO: data_ingestion: File is downloaded:]
[2025-12-05 13:37:04,244: INFO: main: Data Ingestion Stage has completed:]
